Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
3.858134270,-77.85838,-243.139,12.26805,-1.106646,-0.136327,1.112359,6.834237,-7.52663,33.85627,1000.289
3.878202438,-65.81973,-236.8229,-20.22891,-1.116244,-0.1974091,1.117938,6.834237,-7.52663,33.85627,1000.289
3.898271084,-54.77396,-228.4809,-53.64734,-1.12892,-0.2229334,1.117264,6.834237,-7.52663,33.85627,1000.29
3.918339252,-47.94792,-222.7607,-78.89545,-1.205383,-0.1351083,1.199389,30.00994,-6.490518,4.781738,1000.29
3.938407898,-45.0934,-216.9213,-95.60466,-1.284099,-0.1152077,1.139702,30.00994,-6.490518,4.781738,1000.289
3.958476067,-67.86755,-210.784,-120.3613,-1.158177,0.6137427,0.9999921,30.90121,3.267252,-23.05426,1000.289
3.978543758,-39.07407,-186.2944,-90.44447,-1.404918,0.3661742,0.6666145,30.90121,3.267252,-23.05426,1000.292
3.998612404,13.36232,-141.9032,-31.47077,-1.487396,0.4983951,0.06933344,30.90121,3.267252,-23.05426,1000.292
4.018680573,-38.45352,-76.23991,-2.782527,-2.110999,0.6122746,-0.4907876,14.76749,13.48125,-35.64416,1000.289
4.038749218,-35.97132,7.954431,-24.71337,-2.048349,-0.1729034,-0.8030506,14.76749,13.48125,-35.64416,1000.289
4.058817863,53.76007,75.76275,-48.54857,-1.86096,-0.02520374,-0.1847082,-1.173393,17.7768,-39.5917,1000.289
4.078886032,205.6084,244.1514,0.9647596,-0.5473081,1.44286,1.351369,-1.173393,17.7768,-39.5917,1000.289
4.098954678,50.34705,317.5012,-76.37678,-0.1652929,1.914078,0.1176589,-1.173393,17.7768,-39.5917,1000.292
4.119022369,14.54137,259.7033,12.20662,-2.216536,0.5883223,2.522068,-5.274418,18.81771,-44.83198,1000.292
4.139090538,72.81093,192.8483,-31.47077,-2.01305,-1.001126,1.904,-5.274418,18.81771,-44.83198,1000.294
4.159159184,57.04898,123.7887,-2.413941,-0.7907383,0.2392701,1.366313,3.347411,13.40514,-47.82011,1000.294
4.179227352,43.83128,76.06068,16.38392,-0.6894037,-0.0707588,1.177647,3.347411,13.40514,-47.82011,1000.291
4.199295998,25.71125,27.31973,17.61254,-0.6729651,0.1988495,0.9721525,3.347411,13.40514,-47.82011,1000.291
